"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\MahjongRound.cs", "C#", 313, 123, 85, 521
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\MahjongTileAndBlock.cs", "C#", 434, 28, 81, 543
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\MahjongUtilities.cs", "C#", 484, 75, 100, 659
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\MahjongWinInfo.cs", "C#", 349, 45, 102, 496
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\MahjongYaku.cs", "C#", 771, 87, 144, 1002
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\MyLogger.cs", "C#", 29, 0, 6, 35
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\Utilities.cs", "C#", 101, 5, 20, 126
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\_Enums_Ecchi_Nun_Mari.cs", "C#", 23, 0, 7, 30
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\AL-1S\_Structs.cs", "C#", 190, 111, 38, 339
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\Configs\InputLists.cs", "C#", 12, 0, 2, 14
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\Configs\Settings.cs", "C#", 62, 2, 13, 77
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\Configs\SettingsManager.cs", "C#", 71, 50, 17, 138
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\DASandARR.cs", "C#", 31, 13, 8, 52
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\DBManager.cs", "C#", 6, 6, 5, 17
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\ILocalizable.cs", "C#", 5, 0, 2, 7
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\IScoreDistanceConsumer.cs", "C#", 8, 2, 2, 12
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\IScoreDistanceService.cs", "C#", 18, 1, 3, 22
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\InputManager.cs", "C#", 20, 3, 6, 29
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\LocalizationManager.cs", "C#", 12, 2, 5, 19
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\MahjongGameManager.cs", "C#", 246, 30, 63, 339
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\MahjongTileDatabase.cs", "C#", 59, 1, 21, 81
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\ScoreManagerDistance.cs", "C#", 101, 11, 33, 145
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\SoundArchive\AudioManager.cs", "C#", 108, 3, 33, 144
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\SoundArchive\MusicManager.cs", "C#", 41, 10, 15, 66
